Date : 2024-03-11 09:52:51
Directory : c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360
Total : 235 files,  395604 codes, 622 comments, 1937 blanks, all 398163 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          4 |    382,310 |          0 |          2 |    382,312 |
| JavaScript JSX     |        143 |      8,329 |        525 |      1,588 |     10,442 |
| CSS                |         28 |      1,792 |          0 |        150 |      1,942 |
| XML                |         27 |      1,688 |          0 |          8 |      1,696 |
| JavaScript         |         27 |        841 |         90 |         59 |        990 |
| HTML               |          2 |        497 |          3 |         89 |        589 |
| Prisma             |          1 |         99 |          4 |         23 |        126 |
| Markdown           |          1 |         26 |          0 |         13 |         39 |
| Properties         |          1 |         14 |          0 |          4 |         18 |
| JSON with Comments |          1 |          8 |          0 |          1 |          9 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                         | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                            |        235 |    395,604 |        622 |      1,937 |    398,163 |
| . (Files)                                                                                                                                                                    |          9 |     10,240 |         38 |         52 |     10,330 |
| .idea                                                                                                                                                                        |          3 |         26 |          0 |          0 |         26 |
| app                                                                                                                                                                          |         18 |        243 |         33 |         72 |        348 |
| app (Files)                                                                                                                                                                  |          3 |         95 |         28 |         16 |        139 |
| app\(DashboardLayout)                                                                                                                                                        |          3 |         36 |          0 |          9 |         45 |
| app\(DashboardLayout)\dashboard                                                                                                                                              |          3 |         36 |          0 |          9 |         45 |
| app\(DashboardLayout)\dashboard (Files)                                                                                                                                      |          2 |         28 |          0 |          7 |         35 |
| app\(DashboardLayout)\dashboard\admin                                                                                                                                        |          1 |          8 |          0 |          2 |         10 |
| app\auth                                                                                                                                                                     |         11 |        103 |          5 |         42 |        150 |
| app\auth\forgotPassword                                                                                                                                                      |          1 |          9 |          2 |          2 |         13 |
| app\auth\login                                                                                                                                                               |          4 |         36 |          0 |         14 |         50 |
| app\auth\login (Files)                                                                                                                                                       |          1 |          9 |          0 |          2 |         11 |
| app\auth\login\admin                                                                                                                                                         |          1 |          9 |          0 |          4 |         13 |
| app\auth\login\student                                                                                                                                                       |          1 |          9 |          0 |          4 |         13 |
| app\auth\login\teacher                                                                                                                                                       |          1 |          9 |          0 |          4 |         13 |
| app\auth\register                                                                                                                                                            |          3 |         27 |          0 |         10 |         37 |
| app\auth\register (Files)                                                                                                                                                    |          1 |          9 |          0 |          5 |         14 |
| app\auth\register\student                                                                                                                                                    |          1 |          9 |          0 |          3 |         12 |
| app\auth\register\teacher                                                                                                                                                    |          1 |          9 |          0 |          2 |         11 |
| app\auth\resetPassword                                                                                                                                                       |          1 |         11 |          0 |          6 |         17 |
| app\auth\sendVerifyEmail                                                                                                                                                     |          1 |          9 |          3 |          5 |         17 |
| app\auth\verifyEmail                                                                                                                                                         |          1 |         11 |          0 |          5 |         16 |
| app\notification                                                                                                                                                             |          1 |          9 |          0 |          5 |         14 |
| assets                                                                                                                                                                       |         29 |        184 |          0 |         25 |        209 |
| assets (Files)                                                                                                                                                               |          1 |          1 |          0 |          0 |          1 |
| assets\icons                                                                                                                                                                 |         18 |        149 |          0 |         21 |        170 |
| assets\icons (Files)                                                                                                                                                         |          8 |        115 |          0 |         17 |        132 |
| assets\icons\image                                                                                                                                                           |         10 |         34 |          0 |          4 |         38 |
| assets\image                                                                                                                                                                 |         10 |         34 |          0 |          4 |         38 |
| components                                                                                                                                                                   |         92 |      7,749 |        280 |      1,061 |      9,090 |
| components\auth                                                                                                                                                              |         27 |      2,830 |         67 |        402 |      3,299 |
| components\auth\forgotPassword                                                                                                                                               |          3 |        190 |          2 |         34 |        226 |
| components\auth\login                                                                                                                                                        |         10 |        719 |         18 |        106 |        843 |
| components\auth\login (Files)                                                                                                                                                |          1 |         14 |          0 |          2 |         16 |
| components\auth\login\admin                                                                                                                                                  |          3 |        227 |          6 |         34 |        267 |
| components\auth\login\student                                                                                                                                                |          3 |        239 |          6 |         36 |        281 |
| components\auth\login\teacher                                                                                                                                                |          3 |        239 |          6 |         34 |        279 |
| components\auth\register                                                                                                                                                     |          7 |      1,504 |         40 |        198 |      1,742 |
| components\auth\register (Files)                                                                                                                                             |          1 |         19 |          0 |          2 |         21 |
| components\auth\register\student                                                                                                                                             |          3 |        741 |         20 |         98 |        859 |
| components\auth\register\teacher                                                                                                                                             |          3 |        744 |         20 |         98 |        862 |
| components\auth\resetPassword                                                                                                                                                |          3 |        221 |          3 |         33 |        257 |
| components\auth\sendVerifyEmail                                                                                                                                              |          3 |        188 |          3 |         26 |        217 |
| components\auth\verifyEmail                                                                                                                                                  |          1 |          8 |          1 |          5 |         14 |
| components\banner-section                                                                                                                                                    |          2 |         23 |          0 |          8 |         31 |
| components\become-instructor-section                                                                                                                                         |          1 |         39 |          0 |          4 |         43 |
| components\blog-section                                                                                                                                                      |          2 |         80 |          0 |         10 |         90 |
| components\clients-section                                                                                                                                                   |          2 |         71 |          0 |          4 |         75 |
| components\constants                                                                                                                                                         |          1 |        514 |          0 |          4 |        518 |
| components\counter-section                                                                                                                                                   |          2 |         58 |          0 |          4 |         62 |
| components\dashboard                                                                                                                                                         |         11 |      1,574 |         74 |        239 |      1,887 |
| components\dashboard (Files)                                                                                                                                                 |          4 |        309 |          0 |         34 |        343 |
| components\dashboard\content                                                                                                                                                 |          1 |         13 |          0 |          6 |         19 |
| components\dashboard\panels                                                                                                                                                  |          4 |      1,144 |         54 |        160 |      1,358 |
| components\dashboard\panels\admin                                                                                                                                            |          4 |      1,144 |         54 |        160 |      1,358 |
| components\dashboard\panels\admin\generalTopPageBanner                                                                                                                       |          2 |        518 |         25 |         76 |        619 |
| components\dashboard\panels\admin\slider                                                                                                                                     |          2 |        626 |         29 |         84 |        739 |
| components\dashboard\sidebar                                                                                                                                                 |          2 |        108 |         20 |         39 |        167 |
| components\featured-courses                                                                                                                                                  |          2 |        207 |          0 |         15 |        222 |
| components\footer                                                                                                                                                            |          1 |        128 |          0 |          5 |        133 |
| components\formElements                                                                                                                                                      |          7 |        193 |          3 |         34 |        230 |
| components\formElements\errorText                                                                                                                                            |          2 |         18 |          1 |          3 |         22 |
| components\formElements\imageUploader                                                                                                                                        |          1 |         77 |          2 |         12 |         91 |
| components\formElements\input                                                                                                                                                |          2 |         49 |          0 |          8 |         57 |
| components\formElements\select                                                                                                                                               |          2 |         49 |          0 |         11 |         60 |
| components\header                                                                                                                                                            |          6 |        477 |         12 |         43 |        532 |
| components\helpers                                                                                                                                                           |          2 |         60 |          0 |         11 |         71 |
| components\info-section                                                                                                                                                      |          2 |         31 |          0 |          5 |         36 |
| components\instructors-section                                                                                                                                               |          1 |         54 |          0 |          4 |         58 |
| components\last-banner                                                                                                                                                       |          2 |         23 |          0 |         11 |         34 |
| components\learners-students                                                                                                                                                 |          1 |         46 |          0 |          3 |         49 |
| components\logo-banner                                                                                                                                                       |          1 |         28 |          0 |          4 |         32 |
| components\main-section                                                                                                                                                      |          2 |         74 |          1 |         12 |         87 |
| components\other                                                                                                                                                             |         12 |      1,068 |        122 |        222 |      1,412 |
| components\other\Stepper                                                                                                                                                     |          2 |         74 |          0 |          8 |         82 |
| components\other\generalTopPageBanner                                                                                                                                        |          1 |         84 |          4 |         21 |        109 |
