"filename", "language", "Properties", "JavaScript", "JavaScript JSX", "CSS", "JSON", "Markdown", "Prisma", "HTML", "XML", "JSON with Comments", "comment", "blank", "total"
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\.env", "Properties", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\.idea\CaliskanAri----Medyanes-360.iml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 12
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 8
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\README.md", "Markdown", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 13, 39
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\app\(DashboardLayout)\dashboard\admin\page.jsx", "JavaScript JSX", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\app\(DashboardLayout)\dashboard\layout.jsx", "JavaScript JSX", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\app\(DashboardLayout)\dashboard\page.jsx", "JavaScript JSX", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\app\auth\forgotPassword\page.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 2, 13
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\app\auth\login\admin\page.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\app\auth\login\page.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\app\auth\login\student\page.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\app\auth\login\teacher\page.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\app\auth\register\page.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\app\auth\register\student\page.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\app\auth\register\teacher\page.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\app\auth\resetPassword\page.jsx", "JavaScript JSX", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\app\auth\sendVerifyEmail\page.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 5, 17
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\app\auth\verifyEmail\page.jsx", "JavaScript JSX", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\app\head.jsx", "JavaScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\app\layout.jsx", "JavaScript JSX", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 28, 10, 105
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\app\notification\page.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\app\page.jsx", "JavaScript JSX", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
